UF,Município, Limite de Gasto Prefeito 1º Turno , Limite de Gasto Prefeito 2º Turno , Limite de Gasto Vereador , Limite Contratação Prefeito , Limite Contratação Vereador , Eleitorado Apto 
AC,ACRELÂNDIA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 95 , 48 , 9 506 
AL,ANADIA, R$ 187 903,10 , R$ -   , R$ 22 787,43 , 126 , 63 , 12 558 
AL,ARAPIRACA, R$ 1 963 837,57 , R$ -   , R$ 83 333,25 , 406 , 203 , 135 998 
AL,ATALAIA, R$ 287 893,83 , R$ -   , R$ 33 408,14 , 300 , 150 , 30 194 
AL,BARRA DE SANTO ANTÔNIO, R$ 108 039,06 , R$ -   , R$ 39 396,03 , 117 , 59 , 11 680 
AL,BARRA DE SÃO MIGUEL, R$ 359 370,80 , R$ -   , R$ 22 082,21 , 65 , 33 , 6 520 
AL,BATALHA, R$ 249 545,03 , R$ -   , R$ 10 803,91 , 120 , 60 , 12 020 
AL,BELÉM, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 48 , 24 , 4 780 
AL,BELO MONTE, R$ 108 039,06 , R$ -   , R$ 21 816,46 , 52 , 26 , 5 154 
AL,BOCA DA MATA, R$ 151 385,62 , R$ -   , R$ 60 012,58 , 196 , 98 , 19 640 
AL,BRANQUINHA, R$ 157 670,47 , R$ -   , R$ 10 803,91 , 82 , 41 , 8 158 
AL,CACIMBINHAS, R$ 137 760,38 , R$ -   , R$ 18 150,38 , 79 , 40 , 7 929 
AL,CAJUEIRO, R$ 159 987,84 , R$ -   , R$ 10 803,91 , 144 , 72 , 14 437 
AL,CAMPESTRE, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 54 , 27 , 5 423 
AL,CAMPO ALEGRE, R$ 444 545,95 , R$ -   , R$ 21 253,16 , 234 , 117 , 23 369 
AL,CAMPO GRANDE, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 81 , 41 , 8 106 
AL,CANAPI, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 130 , 65 , 13 019 
AL,CAPELA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 128 , 64 , 12 753 
AL,CARNEIROS, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 64 , 32 , 6 388 
AL,CHÃ PRETA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 59 , 30 , 5 873 
AL,COITÉ DO NÓIA, R$ 139 250,80 , R$ -   , R$ 17 949,66 , 83 , 42 , 8 346 
AL,COLÔNIA LEOPOLDINA, R$ 174 414,30 , R$ -   , R$ 15 309,91 , 146 , 73 , 14 574 
AL,COQUEIRO SECO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 45 , 23 , 4 508 
AL,CORURIPE, R$ 494 185,02 , R$ -   , R$ 25 284,79 , 309 , 155 , 38 541 
AL,CRAÍBAS, R$ 163 977,83 , R$ -   , R$ 21 890,24 , 174 , 87 , 17 375 
AL,DELMIRO GOUVEIA, R$ 449 093,95 , R$ -   , R$ 48 850,79 , 306 , 153 , 36 137 
AL,DOIS RIACHOS, R$ 148 203,16 , R$ -   , R$ 15 763,09 , 85 , 43 , 8 517 
AL,ESTRELA DE ALAGOAS, R$ 225 652,52 , R$ -   , R$ 16 999,05 , 117 , 59 , 11 658 
AL,FEIRA GRANDE, R$ 178 601,87 , R$ -   , R$ 33 816,46 , 167 , 84 , 16 651 
AL,FELIZ DESERTO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 35 , 18 , 3 504 
AL,FLEXEIRAS, R$ 108 039,06 , R$ -   , R$ 13 427,89 , 85 , 43 , 8 541 
AL,GIRAU DO PONCIANO, R$ 108 039,06 , R$ -   , R$ 18 458,78 , 252 , 126 , 25 167 
AL,IBATEGUARA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 108 , 54 , 10 805 
AL,IGACI, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 192 , 96 , 19 184 
AL,IGREJA NOVA, R$ 153 657,15 , R$ -   , R$ 29 547,91 , 167 , 84 , 16 720 
AL,INHAPI, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 122 , 61 , 12 219 
AL,JACARÉ DOS HOMENS, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 47 , 24 , 4 748 
AL,JACUÍPE, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 54 , 27 , 5 414 
AL,JAPARATINGA, R$ 108 039,06 , R$ -   , R$ 18 564,83 , 63 , 32 , 6 308 
AL,JARAMATAIA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 45 , 23 , 4 548 
AL,JEQUIÁ DA PRAIA, R$ 247 158,34 , R$ -   , R$ 31 358,58 , 73 , 37 , 7 344 
AL,JOAQUIM GOMES, R$ 108 039,06 , R$ -   , R$ 23 014,02 , 129 , 65 , 12 859 
AL,JUNDIÁ, R$ 108 039,06 , R$ -   , R$ 17 882,47 , 42 , 21 , 4 194 
AL,JUNQUEIRO, R$ 179 919,82 , R$ -   , R$ 23 298,39 , 185 , 93 , 18 463 
AL,LAGOA DA CANOA, R$ 108 039,06 , R$ -   , R$ 22 568,57 , 136 , 68 , 13 609 
AL,LIMOEIRO DE ANADIA, R$ 318 306,30 , R$ -   , R$ 23 911,69 , 172 , 86 , 17 189 
AL,MACEIÓ, R$ 4 504 729,69 , R$ 1 351 418,91 , R$ 220 429,76 , 850 , 238 , 579 962 
AL,MAJOR ISIDORO, R$ 352 778,13 , R$ -   , R$ 14 115,06 , 143 , 72 , 14 314 
AL,MAR VERMELHO, R$ 183 628,75 , R$ -   , R$ 21 010,93 , 33 , 17 , 3 266 
AL,MARAGOGI, R$ 212 863,43 , R$ -   , R$ 24 801,47 , 189 , 95 , 18 853 
AL,MARAVILHA, R$ 152 228,31 , R$ -   , R$ 10 803,91 , 77 , 39 , 7 692 
AL,MARECHAL DEODORO, R$ 796 775,67 , R$ -   , R$ 56 454,67 , 305 , 153 , 34 816 
AL,MARIBONDO, R$ 163 796,19 , R$ -   , R$ 25 849,61 , 102 , 51 , 10 214 
AL,MATA GRANDE, R$ 108 039,06 , R$ -   , R$ 42 071,01 , 165 , 83 , 16 524 
AL,MATRIZ DE CAMARAGIBE, R$ 108 039,06 , R$ -   , R$ 16 872,17 , 179 , 90 , 17 896 
AL,MESSIAS, R$ 170 732,37 , R$ -   , R$ 14 259,54 , 126 , 63 , 12 555 
AL,MINADOR DO NEGRÃO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 44 , 22 , 4 428 
AL,MONTEIRÓPOLIS, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 57 , 29 , 5 697 
AL,MURICI, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 187 , 94 , 18 670 
AL,NOVO LINO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 98 , 49 , 9 834 
AL,OLHO D'ÁGUA DAS FLORES, R$ 190 046,76 , R$ -   , R$ 10 803,91 , 144 , 72 , 14 424 
AL,OLHO D'ÁGUA DO CASADO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 68 , 34 , 6 811 
AL,OLHO D'ÁGUA GRANDE, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 44 , 22 , 4 364 
AL,OLIVENÇA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 87 , 44 , 8 712 
AL,OURO BRANCO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 77 , 39 , 7 747 
AL,PALESTINA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 43 , 22 , 4 258 
AL,PALMEIRA DOS ÍNDIOS, R$ 467 709,70 , R$ -   , R$ 34 057,23 , 319 , 160 , 49 320 
AL,PÃO DE AÇÚCAR, R$ 215 372,99 , R$ -   , R$ 10 803,91 , 179 , 90 , 17 904 
AL,PARICONHA, R$ 199 031,82 , R$ -   , R$ 10 803,91 , 80 , 40 , 7 954 
AL,PARIPUEIRA, R$ 108 039,06 , R$ -   , R$ 15 497,44 , 94 , 47 , 9 439 
AL,PASSO DE CAMARAGIBE, R$ 169 288,22 , R$ -   , R$ 35 433,20 , 111 , 56 , 11 135 
AL,PAULO JACINTO, R$ 108 039,06 , R$ -   , R$ 18 227,10 , 61 , 31 , 6 127 
AL,PENEDO, R$ 405 229,47 , R$ -   , R$ 26 685,37 , 311 , 156 , 40 897 
AL,PIAÇABUÇU, R$ 108 039,06 , R$ -   , R$ 19 531,82 , 129 , 65 , 12 891 
AL,PILAR, R$ 817 819,39 , R$ -   , R$ 64 258,98 , 251 , 126 , 25 104 
AL,PINDOBA, R$ 108 039,06 , R$ -   , R$ 17 990,47 , 25 , 13 , 2 479 
AL,PIRANHAS, R$ 200 267,71 , R$ -   , R$ 19 147,47 , 172 , 86 , 17 213 
AL,POÇO DAS TRINCHEIRAS, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 97 , 49 , 9 693 
AL,PORTO CALVO, R$ 487 627,90 , R$ -   , R$ 13 983,13 , 199 , 100 , 19 892 
AL,PORTO DE PEDRAS, R$ 141 054,64 , R$ -   , R$ 21 040,28 , 66 , 33 , 6 640 
AL,PORTO REAL DO COLÉGIO, R$ 108 039,06 , R$ -   , R$ 13 907,02 , 147 , 74 , 14 681 
AL,QUEBRANGULO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 96 , 48 , 9 606 
AL,RIO LARGO, R$ 326 696,30 , R$ -   , R$ 43 726,55 , 322 , 161 , 52 328 
AL,ROTEIRO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 50 , 25 , 4 994 
AL,SANTA LUZIA DO NORTE, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 57 , 29 , 5 658 
AL,SANTANA DO IPANEMA, R$ 146 835,26 , R$ -   , R$ 25 112,33 , 300 , 150 , 30 078 
AL,SANTANA DO MUNDAÚ, R$ 108 039,06 , R$ -   , R$ 15 492,49 , 83 , 42 , 8 259 
AL,SÃO BRÁS, R$ 108 039,06 , R$ -   , R$ 17 337,92 , 59 , 30 , 5 852 
AL,SÃO JOSÉ DA LAJE, R$ 257 039,32 , R$ -   , R$ 15 570,02 , 165 , 83 , 16 477 
AL,SÃO JOSÉ DA TAPERA, R$ 168 640,17 , R$ -   , R$ 32 668,15 , 201 , 101 , 20 093 
AL,SÃO LUÍS DO QUITUNDE, R$ 200 952,53 , R$ -   , R$ 16 213,85 , 217 , 109 , 21 707 
AL,SÃO MIGUEL DOS CAMPOS, R$ 2 311 599,47 , R$ -   , R$ 61 797,69 , 308 , 154 , 38 370 
AL,SÃO MIGUEL DOS MILAGRES, R$ 108 039,06 , R$ -   , R$ 23 666,64 , 66 , 33 , 6 552 
AL,SÃO SEBASTIÃO, R$ 469 325,15 , R$ -   , R$ 30 182,55 , 241 , 121 , 24 135 
AL,SATUBA, R$ 108 039,06 , R$ -   , R$ 13 652,61 , 99 , 50 , 9 916 
AL,SENADOR RUI PALMEIRA, R$ 205 859,37 , R$ -   , R$ 24 717,10 , 87 , 44 , 8 743 
AL,TANQUE D'ARCA, R$ 108 039,06 , R$ -   , R$ 17 041,18 , 52 , 26 , 5 154 
AL,TAQUARANA, R$ 228 546,38 , R$ -   , R$ 29 341,09 , 133 , 67 , 13 315 
AL,TEOTÔNIO VILELA, R$ 257 266,00 , R$ -   , R$ 52 840,57 , 277 , 139 , 27 739 
AL,TRAIPU, R$ 161 853,09 , R$ -   , R$ 10 803,91 , 172 , 86 , 17 188 
AL,UNIÃO DOS PALMARES, R$ 297 773,26 , R$ -   , R$ 32 331,43 , 313 , 157 , 43 032 
AL,VIÇOSA, R$ 197 532,62 , R$ -   , R$ 17 001,88 , 193 , 97 , 19 278 
AM,ALVARÃES, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 97 , 49 , 9 727 
AM,AMATURÁ, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 55 , 28 , 5 467 
AM,ANAMÃ, R$ 613 178,16 , R$ -   , R$ 15 857,66 , 70 , 35 , 6 970 
AM,ANORI, R$ 223 610,79 , R$ -   , R$ 10 803,91 , 97 , 49 , 9 663 
AM,APUÍ, R$ 108 039,06 , R$ -   , R$ 19 489,15 , 102 , 51 , 10 164 
AM,ATALAIA DO NORTE, R$ 135 185,73 , R$ -   , R$ 10 803,91 , 77 , 39 , 7 687 
AM,AUTAZES, R$ 152 431,18 , R$ -   , R$ 19 382,00 , 238 , 119 , 23 840 
AM,BARCELOS, R$ 108 039,06 , R$ -   , R$ 18 758,69 , 100 , 50 , 10 025 
AM,BARREIRINHA, R$ 108 039,06 , R$ -   , R$ 26 632,46 , 181 , 91 , 18 134 
AM,BENJAMIN CONSTANT, R$ 242 837,36 , R$ -   , R$ 10 803,91 , 195 , 98 , 19 481 
AM,BERURI, R$ 221 819,05 , R$ -   , R$ 20 649,15 , 112 , 56 , 11 193 
AM,BOA VISTA DO RAMOS, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 104 , 52 , 10 434 
AM,BOCA DO ACRE, R$ 275 893,92 , R$ -   , R$ 18 127,32 , 203 , 102 , 20 292 
AM,BORBA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 201 , 101 , 20 147 
AM,CAAPIRANGA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 81 , 41 , 8 125 
AM,CANUTAMA, R$ 141 472,51 , R$ -   , R$ 13 725,64 , 83 , 42 , 8 323 
AM,CARAUARI, R$ 238 951,07 , R$ -   , R$ 72 554,24 , 186 , 93 , 18 603 
AM,CAREIRO, R$ 283 092,98 , R$ -   , R$ 24 651,47 , 198 , 99 , 19 786 
AM,CAREIRO DA VÁRZEA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 144 , 72 , 14 411 
AM,COARI, R$ 1 391 726,59 , R$ -   , R$ 68 577,27 , 319 , 160 , 48 681 
AM,CODAJÁS, R$ 179 958,26 , R$ -   , R$ 19 163,84 , 145 , 73 , 14 506 
AM,EIRUNEPÉ, R$ 108 039,06 , R$ -   , R$ 17 818,33 , 209 , 105 , 20 882 
AM,ENVIRA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 112 , 56 , 11 244 
AM,FONTE BOA, R$ 278 038,11 , R$ -   , R$ 23 702,69 , 147 , 74 , 14 677 
AM,GUAJARÁ, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 94 , 47 , 9 392 
AM,HUMAITÁ, R$ 108 039,06 , R$ -   , R$ 18 820,21 , 288 , 144 , 28 782 
AM,IPIXUNA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 107 , 54 , 10 677 
AM,IRANDUBA, R$ 323 402,45 , R$ -   , R$ 54 213,43 , 270 , 135 , 26 980 
AM,ITACOATIARA, R$ 321 781,05 , R$ -   , R$ 62 044,59 , 332 , 166 , 62 343 
AM,ITAMARATI, R$ 199 438,00 , R$ -   , R$ 10 803,91 , 65 , 33 , 6 529 
AM,ITAPIRANGA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 71 , 36 , 7 128 
AM,JAPURÁ, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 44 , 22 , 4 438 
AM,JURUÁ, R$ 207 169,50 , R$ -   , R$ 10 803,91 , 70 , 35 , 6 993 
AM,JUTAÍ, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 117 , 59 , 11 728 
AM,LÁBREA, R$ 204 736,41 , R$ -   , R$ 22 279,94 , 232 , 116 , 23 231 
AM,MANACAPURU, R$ 840 371,33 , R$ -   , R$ 31 554,28 , 332 , 166 , 61 793 
AM,MANAQUIRI, R$ 570 533,72 , R$ -   , R$ 19 917,58 , 129 , 65 , 12 920 
AM,MANAUS, R$ 8 977 801,98 , R$ 2 693 340,59 , R$ 551 706,39 , 1 527 , 428 , 1 257 129 
AM,MANICORÉ, R$ 332 769,83 , R$ -   , R$ 25 088,02 , 281 , 141 , 28 111 
AM,MARAÃ, R$ 196 710,63 , R$ -   , R$ 10 803,91 , 95 , 48 , 9 477 
AM,MAUÉS, R$ 308 079,43 , R$ -   , R$ 33 146,03 , 300 , 150 , 30 117 
AM,NHAMUNDÁ, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 129 , 65 , 12 851 
AM,NOVA OLINDA DO NORTE, R$ 266 157,98 , R$ -   , R$ 14 043,99 , 167 , 84 , 16 672 
AM,NOVO AIRÃO, R$ 108 039,06 , R$ -   , R$ 17 445,96 , 99 , 50 , 9 899 
AM,NOVO ARIPUANÃ, R$ 108 039,06 , R$ -   , R$ 14 044,93 , 120 , 60 , 11 989 
AM,PARINTINS, R$ 547 735,41 , R$ -   , R$ 74 211,54 , 334 , 167 , 64 044 
AM,PAUINI, R$ 108 039,06 , R$ -   , R$ 15 994,37 , 99 , 50 , 9 851 
AM,PRESIDENTE FIGUEIREDO, R$ 586 380,04 , R$ -   , R$ 125 903,05 , 210 , 105 , 21 006 
AM,RIO PRETO DA EVA, R$ 405 017,64 , R$ -   , R$ 24 681,62 , 141 , 71 , 14 112 
AM,SANTA ISABEL DO RIO NEGRO, R$ 166 784,93 , R$ -   , R$ 10 803,91 , 75 , 38 , 7 467 
AM,SANTO ANTÔNIO DO IÇÁ, R$ 154 809,30 , R$ -   , R$ 14 023,39 , 132 , 66 , 13 159 
AM,SÃO GABRIEL DA CACHOEIRA, R$ 108 039,06 , R$ -   , R$ 26 073,06 , 288 , 144 , 28 756 
AM,SÃO PAULO DE OLIVENÇA, R$ 206 793,80 , R$ -   , R$ 10 803,91 , 159 , 80 , 15 918 
AM,SÃO SEBASTIÃO DO UATUMÃ, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 62 , 31 , 6 153 
AM,SILVES, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 70 , 35 , 6 970 
AM,TABATINGA, R$ 339 696,29 , R$ -   , R$ 18 352,04 , 300 , 150 , 30 111 
AM,TAPAUÁ, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 121 , 61 , 12 122 
AM,TEFÉ, R$ 748 814,91 , R$ -   , R$ 19 850,17 , 309 , 155 , 39 297 
AM,TONANTINS, R$ 237 381,41 , R$ -   , R$ 10 803,91 , 89 , 45 , 8 913 
AM,UARINI, R$ 204 517,60 , R$ -   , R$ 10 803,91 , 74 , 37 , 7 391 
AM,URUCARÁ, R$ 192 431,70 , R$ -   , R$ 10 803,91 , 114 , 57 , 11 395 
AM,URUCURITUBA, R$ 108 039,06 , R$ -   , R$ 16 900,73 , 120 , 60 , 12 020 
AP,PEDRA BRANCA DO AMAPARI, R$ 108 039,06 , R$ -   , R$ 19 433,50 , 83 , 42 , 8 316 
AP,AMAPÁ, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 60 , 30 , 6 026 
AP,CALÇOENE, R$ 255 767,54 , R$ -   , R$ 10 803,91 , 74 , 37 , 7 423 
AP,CUTIAS, R$ 108 039,06 , R$ -   , R$ 18 726,57 , 41 , 21 , 4 062 
AP,FERREIRA GOMES, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 71 , 36 , 7 133 
AP,ITAUBAL, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 55 , 28 , 5 522 
AP,LARANJAL DO JARI, R$ 108 039,06 , R$ -   , R$ 14 624,65 , 277 , 139 , 27 718 
AP,MACAPÁ, R$ 1 182 802,88 , R$ 354 840,86 , R$ 133 202,77 , 548 , 153 , 277 688 
AP,MAZAGÃO, R$ 289 362,73 , R$ -   , R$ 21 199,10 , 141 , 71 , 14 146 
AP,OIAPOQUE, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 183 , 92 , 18 261 
AP,PORTO GRANDE, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 132 , 66 , 13 176 
AP,PRACUÚBA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 34 , 17 , 3 351 
AP,SANTANA, R$ 413 485,05 , R$ -   , R$ 59 644,14 , 343 , 153 , 73 096 
AP,SERRA DO NAVIO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 35 , 18 , 3 454 
AP,TARTARUGALZINHO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 85 , 43 , 8 514 
AP,VITÓRIA DO JARI, R$ 108 039,06 , R$ -   , R$ 13 940,02 , 96 , 48 , 9 560 
BA,ABAÍRA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 69 , 35 , 6 931 
BA,ABARÉ, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 127 , 64 , 12 746 
BA,ACAJUTIBA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 113 , 57 , 11 262 
BA,ADUSTINA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 109 , 55 , 10 859 
BA,ÁGUA FRIA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 124 , 62 , 12 435 
BA,AIQUARA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 38 , 19 , 3 787 
BA,ALAGOINHAS, R$ 837 667,71 , R$ -   , R$ 29 312,20 , 364 , 182 , 94 177 
BA,ALCOBAÇA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 177 , 89 , 17 660 
BA,ALMADINA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 54 , 27 , 5 352 
BA,AMARGOSA, R$ 328 930,18 , R$ -   , R$ 17 471,89 , 256 , 128 , 25 553 
BA,AMÉLIA RODRIGUES, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 184 , 92 , 18 439 
BA,AMÉRICA DOURADA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 131 , 66 , 13 130 
BA,ANAGÉ, R$ 169 068,00 , R$ -   , R$ 14 232,20 , 182 , 91 , 18 214 
BA,ANDARAÍ, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 105 , 53 , 10 500 
BA,ANDORINHA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 112 , 56 , 11 247 
BA,ANGICAL, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 122 , 61 , 12 153 
BA,ANGUERA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 94 , 47 , 9 445 
BA,ANTAS, R$ 158 848,16 , R$ -   , R$ 10 803,91 , 108 , 54 , 10 837 
BA,ANTÔNIO CARDOSO, R$ 108 039,06 , R$ -   , R$ 34 395,08 , 108 , 54 , 10 759 
BA,ANTÔNIO GONÇALVES, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 83 , 42 , 8 298 
BA,APORÁ, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 135 , 68 , 13 538 
BA,APUAREMA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 59 , 30 , 5 871 
BA,ARAÇÁS, R$ 166 962,73 , R$ -   , R$ 10 803,91 , 89 , 45 , 8 877 
BA,ARACATU, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 131 , 66 , 13 118 
BA,ARACI, R$ 256 478,78 , R$ -   , R$ 25 357,17 , 311 , 156 , 40 715 
BA,ARAMARI, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 84 , 42 , 8 366 
BA,ARATACA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 56 , 28 , 5 569 
BA,ARATUÍPE, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 82 , 41 , 8 161 
BA,AURELINO LEAL, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 92 , 46 , 9 213 
BA,BAIANÓPOLIS, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 116 , 58 , 11 645 
BA,BAIXA GRANDE, R$ 108 039,06 , R$ -   , R$ 27 598,29 , 162 , 81 , 16 154 
BA,BANZAÊ, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 103 , 52 , 10 269 
BA,BARRA, R$ 276 685,12 , R$ -   , R$ 10 803,91 , 306 , 153 , 36 258 
BA,BARRA DA ESTIVA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 189 , 95 , 18 852 
BA,BARRA DO CHOÇA, R$ 210 109,81 , R$ -   , R$ 14 861,61 , 274 , 137 , 27 386 
BA,BARRA DO MENDES, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 123 , 62 , 12 291 
BA,BARRA DO ROCHA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 39 , 20 , 3 887 
BA,BARREIRAS, R$ 744 698,90 , R$ -   , R$ 41 289,69 , 365 , 183 , 94 612 
BA,BARRO ALTO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 98 , 49 , 9 785 
BA,BARRO PRETO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 62 , 31 , 6 168 
BA,BARROCAS, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 132 , 66 , 13 178 
BA,BELMONTE, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 161 , 81 , 16 115 
BA,BELO CAMPO, R$ 215 586,40 , R$ -   , R$ 10 803,91 , 151 , 76 , 15 147 
BA,BIRITINGA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 123 , 62 , 12 317 
BA,BOA NOVA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 138 , 69 , 13 796 
